Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,441,441,0.5409368810273539,0.5515534235315759,1.0,1.0,0.028754584339454325,0.6426015737475961,True,True,True,4.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,441,306,0.5297955912868278,0.5275242753277876,1.0,1.0,0.023027297941140112,0.6288455903227946,True,True,True,1.0,selected
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,441,374,0.5307656920148393,0.5228656266726511,1.0,1.0,0.04678496734482063,0.6258725543523443,True,True,True,3.0,selected
diff__compact__margin_trim02,compact_performance,0.0,441,437,0.5051885011143635,0.5223535446256746,1.0,1.0,0.027233346794174995,0.6207818377937168,True,True,True,2.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,441,441,0.6436544387908235,0.6474013106558258,1.0,1.0,0.04166673315272951,0.7106899363226684,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,441,441,0.6436374466244124,0.647401309170695,1.0,1.0,0.04166673079551375,0.7106861974274837,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,441,247,0.6286362614068267,0.630294471026053,1.0,1.0,0.05437408852527925,0.6986663600609961,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,441,247,0.6281529888071818,0.6291017672432645,1.0,1.0,0.051728165492819334,0.6980933791946341,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,441,25,-0.6206531744764784,0.6216009799958313,1.0,1.0,0.020433456940687877,0.6940948305051967,False,False,False,,below_bounded_prescreen
diff__seed__strength,selection_committee_prior,0.0,441,25,0.6206531744764784,0.6216009799958313,1.0,1.0,0.020433456940687877,0.6940948305051967,False,False,False,,below_bounded_prescreen
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,441,441,0.6127496185359447,0.6161086709805712,1.0,1.0,0.03710785017215956,0.6890527641416956,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,441,441,0.612498178223803,0.6161086703959175,1.0,1.0,0.03710785048954812,0.6889974469796951,False,True,False,,correlation_pruned_or_cap
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,441,441,0.612498178223803,0.6161086703959175,1.0,1.0,0.03710785048954812,0.6889974469796951,False,True,False,,correlation_pruned_or_cap
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,441,441,0.6091854869086575,0.6116580402103569,1.0,1.0,0.03866590682182447,0.6860700301480029,False,True,True,5.0,selected
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,441,441,0.6091733714283355,0.61165803774357,1.0,1.0,0.03866590736166886,0.6860673635366806,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,441,441,0.6091733714283355,0.61165803774357,1.0,1.0,0.03866590736166886,0.6860673635366806,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,441,441,0.588793440684361,0.6117513219352081,1.0,1.0,0.05313119453573856,0.6810499436980297,False,True,True,13.0,selected
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,441,441,0.588793440684361,0.6117513219352081,1.0,1.0,0.05313119453573856,0.6810499436980297,False,True,False,,correlation_pruned_or_cap
diff__rating__bt_c1p0,global_strength_ratings,0.0,441,441,0.5881515913037594,0.611751321407969,1.0,1.0,0.05313119413566725,0.6809087365972255,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,441,44,0.6001765267669854,0.5996501150746653,1.0,1.0,0.03948720535161887,0.6782914029105114,False,False,False,,below_bounded_prescreen
