Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__compact__margin_trim02,compact_performance,0.0,504,500,0.5036940125054519,0.5208263814103566,1.0,1.0,0.022826385007474803,0.6198962904278716,True,True,True,1.0,selected
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,504,282,0.6316282484103104,0.6319231530774303,1.0,1.0,0.05498834760926985,0.700081794223064,False,True,True,16.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,504,282,0.6316325322432517,0.6305909105448966,1.0,1.0,0.05505718725954867,0.6994405066646837,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,504,25,-0.6220239967276388,0.6234150977203579,1.0,1.0,0.025139603725250148,0.6950789420368423,False,True,True,21.0,selected
diff__seed__strength,selection_committee_prior,0.0,504,25,0.6220239967276388,0.6234150977203579,1.0,1.0,0.025139603725250148,0.6950789420368423,False,True,False,,correlation_pruned_or_cap
diff__compact__half_marginmean_first,compact_performance,0.0,504,472,0.5899170865839821,0.5845597038279582,1.0,1.0,0.0458881989516029,0.668534888927832,False,True,True,2.0,selected
diff__seed__top4,selection_committee_prior,0.0,504,3,0.5423879591043743,0.5819963070479157,1.0,1.0,0.09641847770272716,0.6548268392778528,False,True,True,22.0,selected
diff__compact__half_pointsformean_first,compact_performance,0.0,504,466,0.534249371357817,0.5539748552470478,1.0,1.0,0.07338127106710968,0.6405075413746183,False,True,True,3.0,selected
diff__compact__margin_q90,compact_performance,0.0,504,323,0.5316160040308394,0.529186226419674,1.0,1.0,0.052127390771521176,0.6288798139373672,False,True,True,4.0,selected
diff__compact__upside_tail_mean,compact_performance,0.0,504,496,0.511830807897081,0.5205005811910349,1.0,1.0,0.03265841027869165,0.6211367202979069,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_mean,compact_performance,0.0,504,500,0.5036940125054519,0.5208263814103566,1.0,1.0,0.022826385007474803,0.6198962904278716,False,True,False,,correlation_pruned_or_cap
diff__seed__top8,selection_committee_prior,0.0,504,3,0.5143976322417663,0.5127845320829056,1.0,1.0,0.059757019359574115,0.6169137737186003,False,True,True,23.0,selected
diff__compact__margin_winsor02,compact_performance,0.0,504,504,0.5001919479301429,0.515601065796494,1.0,1.0,0.023117463313007347,0.6166060415944282,False,True,False,,correlation_pruned_or_cap
diff__compact__home_margin_mean,compact_performance,0.027777777777777776,490,484,0.5123947499555567,0.5061571060612828,1.0,1.0,0.1055843112604039,0.6092366612269998,False,True,True,5.0,selected
diff__compact__margin_q75,compact_performance,0.0,504,178,0.4898000099102043,0.4898025003957612,1.0,1.0,0.0220010127866333,0.6019811618587451,False,True,True,6.0,selected
diff__compact__half_winpct_first,compact_performance,0.0,504,203,0.4835804320117033,0.49027815099907196,1.0,1.0,0.06998198604117589,0.5989219280804822,False,True,True,7.0,selected
diff__compact__blowout_win20_rate,compact_performance,0.0,504,422,0.4806624538711654,0.4854779670066579,1.0,1.0,0.055198057922951294,0.5965672416979342,False,True,True,8.0,selected
diff__compact__pythag_exp8p0,compact_performance,0.0,504,504,0.46615468739111765,0.46846066590405727,1.0,1.0,0.03520734570445222,0.5860068570318152,False,True,True,9.0,selected
diff__compact__points_for_mean,compact_performance,0.0,504,498,0.4457754893861056,0.4761946678901223,1.0,1.0,0.09733881898109975,0.582750495492958,False,True,True,10.0,selected
diff__compact__ewm_h20_margin,compact_performance,0.0,504,504,0.45792358164073244,0.45017173255963594,1.0,1.0,0.07593128464258769,0.5737883682038828,False,True,True,11.0,selected
diff__compact__pythag_exp10p0,compact_performance,0.0,504,504,0.4498092948152388,0.45065825015756333,1.0,1.0,0.04089364555115277,0.5736382591129369,False,True,False,,correlation_pruned_or_cap
diff__compact__margin_median,compact_performance,0.0,504,100,0.43789122206886727,0.44349431089870334,1.0,1.0,0.05302075191451555,0.5670925080099478,False,True,True,12.0,selected
diff__compact__pythag_exp11p5,compact_performance,0.0,504,504,0.4371403264422566,0.43840371195839456,1.0,1.0,0.0456227569752255,0.5647797432783168,False,True,False,,correlation_pruned_or_cap
diff__compact__blowout_win10_rate,compact_performance,0.0,504,406,0.426201139622812,0.4447588773782126,1.0,1.0,0.08546192208675213,0.5638300349750907,False,True,True,13.0,selected
diff__compact__ewm_h10_margin,compact_performance,0.0,504,504,0.4150508679686756,0.4415667987303495,1.0,1.0,0.06794592158319501,0.5605454174803485,False,True,True,14.0,selected
diff__compact__margin_q25,compact_performance,0.0,504,185,0.40730359586757847,0.44044617438971,1.0,1.0,0.04774888664985444,0.5591109993319339,False,True,True,15.0,selected
diff__compact__rest_days_mean,compact_performance,0.0,504,356,-0.42244406891751707,0.431486325015683,1.0,1.0,0.06113312326384962,0.5576058062388276,False,True,True,27.0,selected
diff__compact__wins,compact_performance,0.0,504,33,0.4070454303292173,0.4280104515055155,1.0,1.0,0.07104049527418005,0.552153391584108,False,True,True,28.0,selected
diff__compact__pythag_exp13p91,compact_performance,0.0,504,504,0.41681591748161556,0.41971709568814386,1.0,1.0,0.0502743425946135,0.5511527340724799,False,True,True,29.0,selected
diff__compact__ewm_h20_points_for,compact_performance,0.0,504,504,0.42050321103134575,0.41740551458327224,1.0,1.0,0.046479307344293785,0.551006181133095,False,True,True,30.0,selected
diff__compact__away_margin_mean,compact_performance,0.0,504,494,0.382458098593469,0.4122180453502746,1.0,1.0,0.06191765724408638,0.5395287371689315,False,True,True,31.0,selected
