Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,StreamID
diff__massey__strength_mean,massey_consensus,0.0,1449,1449,0.45606812117343,0.4669578836603717,1.0,1.0,0.0866231738760173,0.5810098438600922,True,True,True,6.0,selected,M_primary
matchup__seed_diff,matchup_context,0.0,1449,29,-0.4823526274239511,0.4545842846081147,1.0,1.0,0.1307912323929633,0.5790863853494458,True,True,True,1.0,selected,M_primary
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,1449,967,0.4313839075801026,0.4578455719212135,1.0,1.0,0.1179135528602205,0.5699537920753962,True,True,True,2.0,selected,M_primary
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,1449,1449,0.4321753895803419,0.4246327503218067,1.0,1.0,0.1300083759183071,0.5537019708254101,True,True,True,5.0,selected,M_primary
diff__compact__margin_trim02,compact_performance,0.0,1449,1418,0.4055139706774733,0.4049918767984127,1.0,1.0,0.1115445404615934,0.5391473927938184,True,True,True,3.0,selected,M_primary
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,1449,1194,0.4041166932756901,0.3991665842819586,1.0,1.0,0.0945472714269449,0.5367237421189142,True,True,True,4.0,selected,M_primary
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,1449,1449,0.4951644492800827,0.4914547162104034,1.0,1.0,0.130149949557441,0.5996284446403142,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,1449,1449,0.494394976212206,0.4914547166959447,1.0,1.0,0.1301499487960773,0.5994591608288957,False,True,False,,correlation_pruned_or_cap,M_primary
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,1449,1449,0.47796114035347,0.4841968134073482,1.0,1.0,0.0910062343596181,0.5939256719389059,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,1449,1449,0.4763967563357831,0.4841968150595321,1.0,1.0,0.0910062377355004,0.5935815081130277,False,True,True,29.0,selected,M_primary
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,1449,1449,0.4808171636277557,0.478106808470919,1.0,1.0,0.1216259774191876,0.5904060049673798,False,True,False,,correlation_pruned_or_cap,M_primary
diff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,1449,1449,0.4794931793821145,0.4781068059388037,1.0,1.0,0.1216259751442719,0.5901147273089201,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,1449,1449,0.4794931793821145,0.4781068059388037,1.0,1.0,0.1216259751442719,0.5901147273089201,False,True,True,30.0,selected,M_primary
diff__rating__elo_mov_log,dynamic_ratings,0.0,1449,1449,0.4762771140999208,0.4726746386838995,1.0,1.0,0.1236077699074825,0.586720480873955,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__elo_mov_log_z,dynamic_ratings,0.0,1449,1449,0.4755545758952403,0.4726746380957121,1.0,1.0,0.1236077751810029,0.5865615219756546,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__elo_mov_538,dynamic_ratings,0.0,1449,1449,0.4746865528004437,0.472628121577037,1.0,1.0,0.1208004260857159,0.5864605229296468,False,False,False,,below_bounded_prescreen,M_primary
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,1449,1449,0.4740094785539954,0.4726281211548451,1.0,1.0,0.1208004197046856,0.5863115666480172,False,True,True,31.0,selected,M_primary
diff__rating__elo_mov_538_z,dynamic_ratings,0.0,1449,1449,0.4740094785539954,0.4726281211548451,1.0,1.0,0.1208004197046856,0.5863115666480172,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__margin_ridge_a25p0,global_strength_ratings,0.0,1449,1449,0.4772920924196144,0.4671211055792128,1.0,1.0,0.1161116901358695,0.5845779234049026,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__rating__margin_ridge_a25p0__z,within_season_normalization,0.0,1449,1449,0.4762236154368995,0.4671211035355002,1.0,1.0,0.1161116867485818,0.5843428576232147,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__margin_ridge_a25p0_z,global_strength_ratings,0.0,1449,1449,0.4762236154368995,0.4671211035355002,1.0,1.0,0.1161116867485818,0.5843428576232147,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__colley,global_strength_ratings,0.0,1449,1449,0.4741453958807181,0.4627281749888579,1.0,1.0,0.1075885369871847,0.5821179696089224,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__rating__colley__z,within_season_normalization,0.0,1449,1449,0.4736770592965703,0.4627281730619971,1.0,1.0,0.1075885338738305,0.5820149347600508,False,True,True,32.0,selected,M_primary
diff__rating__colley_z,global_strength_ratings,0.0,1449,1449,0.4736770592965703,0.4627281730619971,1.0,1.0,0.1075885338738305,0.5820149347600508,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__ordinal_max,massey_consensus,0.0,1449,399,-0.4568829998450296,0.4687545113703388,1.0,1.0,0.1092377868789101,0.5811469139485127,False,True,True,7.0,selected,M_primary
diff__norm__massey__strength_mean__z,within_season_normalization,0.0,1449,1449,0.455999418073115,0.4669578868172996,1.0,1.0,0.0866231726805649,0.5809947307411666,False,True,False,,correlation_pruned_or_cap,M_primary
diff__schedule__quality_win_points_mean,schedule_and_accomplishment,0.0,1449,1449,0.472665940858811,0.4576103409885783,1.0,1.0,0.101410849576552,0.5795830366803939,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__system_mor,massey_consensus,0.0,1449,1057,0.4556537595118373,0.4658354486357,1.0,1.0,0.1168217126976611,0.5791719739298338,False,True,True,8.0,selected,M_primary
diff__seed__number,selection_committee_prior,0.0,1449,29,-0.4823526274239511,0.4545842846081147,1.0,1.0,0.1307912323929633,0.5790863853494458,False,False,False,,below_bounded_prescreen,M_primary
diff__seed__strength,selection_committee_prior,0.0,1449,29,0.4823526274239511,0.4545842846081147,1.0,1.0,0.1307912323929633,0.5790863853494458,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_wlk,massey_consensus,0.0,1449,1028,0.4536827266556495,0.4631448648842838,1.0,1.0,0.0808707432561836,0.5788849052784518,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__ordinal_std,massey_consensus,0.0,1449,1449,-0.4614351865603207,0.4621295993432071,1.0,1.0,0.117450827849117,0.5786399156140453,False,True,True,9.0,selected,M_primary
diff__massey__strength_trim05,massey_consensus,0.0,1449,1449,0.4539069798165011,0.462648876487099,1.0,1.0,0.0933850841468879,0.5781955929075623,False,True,False,,correlation_pruned_or_cap,M_primary
diff__schedule__rpi,schedule_and_accomplishment,0.0,1449,1449,0.4547259285095273,0.4645493729274063,1.0,1.0,0.123138466004562,0.5780978646370685,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__schedule__rpi__z,within_season_normalization,0.0,1449,1449,0.453741997602387,0.464549374245719,1.0,1.0,0.1231384669245608,0.5778814004334878,False,True,True,33.0,selected,M_primary
diff__norm__massey__strength_mean__pct,within_season_normalization,0.0,1449,1000,0.4473585333128203,0.4631768761174722,1.0,1.0,0.0823773797603409,0.5774486826747935,False,True,False,,correlation_pruned_or_cap,M_primary
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,1449,840,0.4875830435270334,0.4484230339241571,1.0,1.0,0.1339362336447136,0.5771538765137543,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__bt_c1p0,global_strength_ratings,0.0,1449,1449,0.4637159186819449,0.4555032821795413,1.0,1.0,0.109329418257713,0.5762859008258991,False,True,False,,correlation_pruned_or_cap,M_primary
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,1449,840,0.4860526937251472,0.4468828730066778,1.0,1.0,0.1329187136787905,0.5761186231155861,False,False,False,,below_bounded_prescreen,M_primary
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,1449,1449,0.462840756750952,0.4555032798058777,1.0,1.0,0.109329416208075,0.5760933641437077,False,True,True,34.0,selected,M_primary
diff__rating__bt_c1p0_z,global_strength_ratings,0.0,1449,1449,0.462840756750952,0.4555032798058777,1.0,1.0,0.109329416208075,0.5760933641437077,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__margin_ridge_a5p0_percentile,global_strength_ratings,0.0,1449,1008,0.447200428198622,0.4625630473728573,1.0,1.0,0.1082211157554289,0.5760855123124511,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__strength_median,massey_consensus,0.0,1449,1194,0.4516454300819595,0.4591214518448913,1.0,1.0,0.0967248026997734,0.5758712993955879,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__ordinal_mean,massey_consensus,0.0,1449,1443,-0.4514197056356229,0.4583189664149542,1.0,1.0,0.1002484425465773,0.575295501417152,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__system_pom,massey_consensus,0.0,1449,1058,0.451773278824175,0.4578313054272034,1.0,1.0,0.1048814708798651,0.5749538891111816,False,True,True,10.0,selected,M_primary
diff__massey__ordinal_median,massey_consensus,0.0,1449,464,-0.4499911099526262,0.4571967700304795,1.0,1.0,0.0979892368488776,0.5745329243302528,False,True,False,,correlation_pruned_or_cap,M_primary
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,1449,40,0.4464450642057548,0.4543089855248813,1.0,1.0,0.1149695661522979,0.5716874445311172,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__elo_mov_log_percentile,dynamic_ratings,0.0,1449,974,0.4349770054310664,0.4591720425019056,1.0,1.0,0.1220887349442234,0.5712139721979803,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__elo_mov_538_percentile,dynamic_ratings,0.0,1449,967,0.4313839075801026,0.4578455719212135,1.0,1.0,0.1179135528602205,0.5699537920753962,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_dol,massey_consensus,0.0,1449,1003,0.4420340726038951,0.4498495279539667,1.0,1.0,0.1021776220486879,0.5690881645088134,False,True,False,,correlation_pruned_or_cap,M_primary
diff__compact__half_marginmean_first,compact_performance,0.0,1449,1277,0.4430965756703249,0.4520455760049524,1.0,1.0,0.1564741055861175,0.5682041589064039,False,True,True,51.0,selected,M_primary
diff__massey__system_col,massey_consensus,0.0,1449,1042,0.4365638048992101,0.4484800760810807,1.0,1.0,0.0926327615059401,0.5676091631365073,False,True,True,11.0,selected,M_primary
diff__norm__rating__colley__pct,within_season_normalization,0.0,1449,974,0.4363649429425618,0.4486500234216676,1.0,1.0,0.0936467426983171,0.5676064289818313,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__colley_percentile,global_strength_ratings,0.0,1449,974,0.4363649429425618,0.4486500234216676,1.0,1.0,0.0936467426983171,0.5676064289818313,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,1449,975,0.4238693322127645,0.455342630812493,1.0,1.0,0.1108960392243501,0.5673798743078309,False,True,True,35.0,selected,M_primary
diff__massey__system_rth,massey_consensus,0.0455486542443064,1383,994,0.4428429228951598,0.4537851880624217,1.0,1.0,0.1097981320416286,0.5672065156856879,False,True,True,12.0,selected,M_primary
diff__massey__strength_iqr,massey_consensus,0.0,1449,1138,-0.4374523537781076,0.4390024576302257,1.0,1.0,0.0854347320527697,0.5635433082115813,False,True,True,13.0,selected,M_primary
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,1449,1449,0.4417059580117884,0.4379266512923012,1.0,1.0,0.1012792692621326,0.5633289326124127,False,True,True,36.0,selected,M_primary
diff__rating__pagerank_margin_z,global_strength_ratings,0.0,1449,1449,0.4417059580117884,0.4379266512923012,1.0,1.0,0.1012792692621326,0.5633289326124127,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__pagerank_margin,global_strength_ratings,0.0,1449,1449,0.440699933664287,0.4379266510304622,1.0,1.0,0.1012792748430835,0.5631076069070416,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,1449,1062,0.4340768597925477,0.4404450178256839,1.0,1.0,0.0995657848418101,0.5629278863170164,False,True,True,37.0,selected,M_primary
diff__rating__pagerank_margin_percentile,global_strength_ratings,0.0,1449,1062,0.4340768597925477,0.4404450178256839,1.0,1.0,0.0995657848418101,0.5629278863170164,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,1449,1000,0.4331077828131422,0.4375416584960965,1.0,1.0,0.0595271693605326,0.5629226215225963,False,True,True,38.0,selected,M_primary
diff__rating__elo_standard,dynamic_ratings,0.0,1449,1449,0.4505015720993212,0.4331228798565878,1.0,1.0,0.1146371696773475,0.5624238414059188,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__elo_standard_z,dynamic_ratings,0.0,1449,1449,0.4500805829780329,0.4331228784535071,1.0,1.0,0.1146371748640246,0.5623312229182896,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_sag,massey_consensus,0.0924775707384403,1315,911,0.4312229534449427,0.4544155437735039,1.0,1.0,0.1084161372663287,0.5612536596194408,False,True,True,14.0,selected,M_primary
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,1449,975,0.4311088760564455,0.4371953123892815,1.0,1.0,0.1005125534158596,0.5606772005426387,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__adj__net_rtg_a10p0__pct,within_season_normalization,0.0,1449,975,0.4311088760564455,0.4371953123892815,1.0,1.0,0.1005125534158596,0.5606772005426387,False,True,True,39.0,selected,M_primary
diff__seed__top4,selection_committee_prior,0.0,1449,3,0.4334236834619226,0.4364196592734624,1.0,1.0,0.1101360701039481,0.560429204008727,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__pagerank_binary_z,global_strength_ratings,0.0,1449,1449,0.4301015037987208,0.4376751122745861,1.0,1.0,0.1193744483753861,0.5599314067925044,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__pagerank_binary,global_strength_ratings,0.0,1449,1449,0.4295400875978282,0.4376751084952039,1.0,1.0,0.1193744456532797,0.5598078935230889,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__system_wol,massey_consensus,0.0455486542443064,1383,952,0.4270125913153836,0.4455155497139189,1.0,1.0,0.1101913216195973,0.5597386887477371,False,True,True,15.0,selected,M_primary
diff__norm__rating__margin_ridge_a25p0__pct,within_season_normalization,0.0,1449,986,0.4267838858240596,0.4359967928117451,1.0,1.0,0.1085509378546868,0.5588288779167433,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__margin_ridge_a25p0_percentile,global_strength_ratings,0.0,1449,986,0.4267838858240596,0.4359967928117451,1.0,1.0,0.1085509378546868,0.5588288779167433,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__pagerank_binary_percentile,global_strength_ratings,0.0,1449,1041,0.427040055664043,0.4334574892694143,1.0,1.0,0.1182861987239506,0.5572769591464503,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__rating__bt_c1p0__pct,within_season_normalization,0.0,1449,981,0.4252376444830466,0.4286921969077215,1.0,1.0,0.1062635070372622,0.555073996020486,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__bt_c1p0_percentile,global_strength_ratings,0.0,1449,981,0.4252376444830466,0.4286921969077215,1.0,1.0,0.1062635070372622,0.555073996020486,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__strength_max,massey_consensus,0.0,1449,920,0.4048178821864094,0.4377200589314908,1.0,1.0,0.1071782169572204,0.5548784336898368,False,True,True,16.0,selected,M_primary
diff__massey__ordinal_min,massey_consensus,0.0,1449,219,-0.4037001894392286,0.4368866410166033,1.0,1.0,0.1008223856789669,0.5544867339374412,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__momentum_systems,massey_consensus,0.0,1449,11,0.4245414702893029,0.4250606759431665,1.0,1.0,0.0881120928692387,0.553903764201597,False,True,True,17.0,selected,M_primary
diff__massey__rank_improvement_std,massey_consensus,0.0,1449,1449,-0.4182873936701483,0.4282972111516386,1.0,1.0,0.0945209193345995,0.5538250511868351,False,True,True,18.0,selected,M_primary
diff__adj__net_rtg_a50p0_z,opponent_adjusted_efficiency,0.0,1449,1449,0.4306530574001996,0.4246327483759648,1.0,1.0,0.1300083793694422,0.5533670566737293,False,True,False,,correlation_pruned_or_cap,M_primary
diff__norm__adj__net_rtg_a50p0__z,within_season_normalization,0.0,1449,1449,0.4306530574001996,0.4246327483759648,1.0,1.0,0.1300083793694422,0.5533670566737293,False,False,False,,below_bounded_prescreen,M_primary
diff__schedule__bad_loss_penalty_sum,schedule_and_accomplishment,0.0,1449,1448,-0.4162719553317763,0.4298533658489887,1.0,1.0,0.1308823139613501,0.5526741532220514,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_rpi,massey_consensus,0.1380262249827467,1249,915,0.4127944472642189,0.4534924204409754,1.0,1.0,0.1306180129519029,0.5522243216931004,False,True,True,19.0,selected,M_primary
diff__rating__elo_standard_percentile,dynamic_ratings,0.0,1449,981,0.4110115600428912,0.4289127757194201,1.0,1.0,0.1071016576224953,0.5520166092498578,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_bih,massey_consensus,0.0441683919944789,1385,941,0.4235657146880529,0.4269863228980678,1.0,1.0,0.1008282598996014,0.5505712904669018,False,True,True,20.0,selected,M_primary
interaction__strength_gap_squared_signed,matchup_interactions,0.0,1449,1449,0.407252734985094,0.4257740148106154,1.0,1.0,0.1173193257809037,0.54927435577458,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_sel,massey_consensus,0.0904071773636991,1318,910,0.4181036848154653,0.4326687805814673,1.0,1.0,0.0974931146744558,0.5485315265624325,False,True,True,21.0,selected,M_primary
diff__massey__systems,massey_consensus,0.0,1449,9,0.4147176739589572,0.4219434351648385,1.0,1.0,0.1332574054229678,0.5484404409331743,False,True,True,22.0,selected,M_primary
diff__schedule__oowp,schedule_and_accomplishment,0.0,1449,1449,0.4147196435831014,0.4168780212140523,1.0,1.0,0.1056632534327098,0.547113241633719,False,False,False,,below_bounded_prescreen,M_primary
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,1449,1449,0.3994154677005535,0.4199001015172318,1.0,1.0,0.100752116575977,0.5453933669593539,False,True,True,40.0,selected,M_primary
diff__rating__elo_season_reset_mov,dynamic_ratings,0.0,1449,1449,0.4207136032727522,0.4109245741804859,1.0,1.0,0.1518885325794826,0.5437252470234594,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__elo_season_reset_mov_delta,dynamic_ratings,0.0,1449,1449,0.4207136032727522,0.4109245741804859,1.0,1.0,0.1518885325794826,0.5437252470234594,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__elo_season_reset_mov_z,dynamic_ratings,0.0,1449,1449,0.4189451390401107,0.4109245724919931,1.0,1.0,0.1518885361809981,0.5433361839377412,False,False,False,,below_bounded_prescreen,M_primary
matchup__team1_seed,matchup_context,0.0,1449,16,-0.4144637895784534,0.410193904141508,1.0,1.0,0.1206030082676168,0.543250987364479,False,True,True,23.0,selected,M_primary
diff__rating__bt_c0p25,global_strength_ratings,0.0,1449,1449,0.4298776420154629,0.4030921600909112,1.0,1.0,0.1281095146664132,0.5429329375003826,False,True,False,,correlation_pruned_or_cap,M_primary
diff__rating__bt_c0p25_z,global_strength_ratings,0.0,1449,1449,0.4288597155698576,0.4030921612153144,1.0,1.0,0.1281095189493999,0.5427089940507436,False,True,False,,correlation_pruned_or_cap,M_primary
diff__conference__strength_max,conference_context,0.0,1449,1229,0.4131902203840339,0.4069228098359652,1.0,1.0,0.1424354979192812,0.5405273772889795,False,False,False,,below_bounded_prescreen,M_primary
diff__norm__compact__margin_mean__z,within_season_normalization,0.0,1449,1446,0.4055380637326457,0.4049918746011641,1.0,1.0,0.1115445412609832,0.5391526921793015,False,False,False,,below_bounded_prescreen,M_primary
diff__norm__compact__margin_trim02__z,within_season_normalization,0.0,1449,1446,0.4055380637326457,0.4049918746011641,1.0,1.0,0.1115445412609832,0.5391526921793015,False,False,False,,below_bounded_prescreen,M_primary
diff__compact__margin_mean,compact_performance,0.0,1449,1418,0.4055139706774733,0.4049918767984127,1.0,1.0,0.1115445404615934,0.5391473927938184,False,True,False,,correlation_pruned_or_cap,M_primary
diff__compact__margin_winsor02,compact_performance,0.0,1449,1447,0.4049549261818354,0.4033452750734563,1.0,1.0,0.1044367594874142,0.5385183454157663,False,True,False,,correlation_pruned_or_cap,M_primary
diff__massey__strength_min,massey_consensus,0.0,1449,1354,0.3983828432541592,0.4056098262424119,1.0,1.0,0.1061942504430573,0.5380891720945505,False,False,False,,below_bounded_prescreen,M_primary
diff__prior__program_win_pct_smoothed,prior_program_history,0.0,1449,1207,0.3764319888836332,0.4150266925668141,1.0,1.0,0.1092631477943164,0.5376573240746975,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__bt_c0p25_percentile,global_strength_ratings,0.0,1449,966,0.3932768547973918,0.4075819368509684,1.0,1.0,0.1157926423904384,0.5375285320482734,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_wob,massey_consensus,0.1366459627329192,1251,840,0.398334009020627,0.4255853733178065,1.0,1.0,0.1094681257131267,0.5366040591299265,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_dun,massey_consensus,0.0883367839889579,1321,899,0.4057103246293733,0.4152702909523734,1.0,1.0,0.1277181229396619,0.5364103434388982,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_dok,massey_consensus,0.1325051759834368,1257,882,0.410629332909572,0.4209697287338065,1.0,1.0,0.1426179392118969,0.5360987913851821,False,False,False,,below_bounded_prescreen,M_primary
diff__compact__pythag_exp8p0,compact_performance,0.0,1449,1449,0.3979266522917422,0.4036822732972327,1.0,1.0,0.14039732789524,0.5356954615710454,False,True,True,52.0,selected,M_primary
diff__compact__pythag_exp10p0,compact_performance,0.0,1449,1449,0.3940904652867643,0.405058200706097,1.0,1.0,0.1381232101426859,0.5356029102963072,False,True,False,,correlation_pruned_or_cap,M_primary
diff__schedule__opponent_strength_mean,schedule_and_accomplishment,0.0,1449,1449,0.3930704365421504,0.4002022238148888,1.0,1.0,0.0889801490526084,0.5350133575083154,False,False,False,,below_bounded_prescreen,M_primary
diff__norm__schedule__opponent_strength_mean__z,within_season_normalization,0.0,1449,1449,0.3915726297094639,0.4002022231197472,1.0,1.0,0.088980147937134,0.5346838397160754,False,False,False,,below_bounded_prescreen,M_primary
diff__conference__strength_percentile,conference_context,0.0,1449,164,0.3981910216025819,0.3951280441752098,1.0,1.0,0.0779355606486444,0.5341460635307229,False,False,False,,below_bounded_prescreen,M_primary
diff__norm__conference__strength_mean__pct,within_season_normalization,0.0,1449,1089,0.3965060167560907,0.3959945808347722,1.0,1.0,0.0793877686392446,0.5341332117414609,False,False,False,,below_bounded_prescreen,M_primary
diff__compact__pythag_exp11p5,compact_performance,0.0,1449,1449,0.3900249142866673,0.4027777684506303,1.0,1.0,0.1323699666076493,0.5338440113350634,False,True,False,,correlation_pruned_or_cap,M_primary
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,1449,986,0.3880838623369871,0.403884491082403,1.0,1.0,0.1369973468193352,0.5337631115609173,False,True,True,41.0,selected,M_primary
diff__norm__adj__net_rtg_a50p0__pct,within_season_normalization,0.0,1449,986,0.3880838623369871,0.403884491082403,1.0,1.0,0.1369973468193352,0.5337631115609173,False,False,False,,below_bounded_prescreen,M_primary
diff__detailed__all__net_rtg_ros,detailed_efficiency,0.0,1449,1449,0.4042937349720618,0.3931783388450054,1.0,1.0,0.1076232192792069,0.5333652955682879,False,False,False,,below_bounded_prescreen,M_primary
diff__norm__detailed__all__net_rtg_ros__z,within_season_normalization,0.0,1449,1449,0.4035580123681097,0.3931783412460785,1.0,1.0,0.1076232196816422,0.5332034377318361,False,False,False,,below_bounded_prescreen,M_primary
diff__detailed__all__netrtg_mean,detailed_efficiency,0.0,1449,1449,0.4016049987053797,0.3943554278223626,1.0,1.0,0.1140149024800904,0.533083108970714,False,False,False,,below_bounded_prescreen,M_primary
diff__detailed__all__netrtg_trim02,detailed_efficiency,0.0,1449,1449,0.4016049987053797,0.3943554278223626,1.0,1.0,0.1140149024800904,0.533083108970714,False,False,False,,below_bounded_prescreen,M_primary
diff__detailed__poss0p475__net_rtg_mean,detailed_efficiency,0.0,1449,1449,0.4016049987053797,0.3943554278223626,1.0,1.0,0.1140149024800904,0.533083108970714,False,False,False,,below_bounded_prescreen,M_primary
diff__detailed__clean__netrtg_mean,detailed_efficiency,0.0,1449,1449,0.4018967838491658,0.3939392870493827,1.0,1.0,0.1132337642590075,0.5329787996601599,False,False,False,,below_bounded_prescreen,M_primary
diff__detailed__clean__netrtg_trim02,detailed_efficiency,0.0,1449,1449,0.4018967838491658,0.3939392870493827,1.0,1.0,0.1132337642590075,0.5329787996601599,False,False,False,,below_bounded_prescreen,M_primary
diff__detailed__poss0p44__net_rtg_mean,detailed_efficiency,0.0,1449,1449,0.4014746799856539,0.3941502738637489,1.0,1.0,0.113498917364644,0.5329766043568576,False,False,False,,below_bounded_prescreen,M_primary
diff__detailed__clean__net_rtg_ros,detailed_efficiency,0.0,1449,1449,0.4046501927121625,0.3918636335016262,1.0,1.0,0.1059833899517621,0.5328782508793859,False,False,False,,below_bounded_prescreen,M_primary
diff__schedule__opponent_strength_pct_mean,schedule_and_accomplishment,0.0,1449,1449,0.3970006027433471,0.3931865891303277,1.0,1.0,0.0807373525805282,0.5328402012828726,False,False,False,,below_bounded_prescreen,M_primary
diff__norm__detailed__clean__net_rtg_ros__z,within_season_normalization,0.0,1449,1449,0.4039944359875933,0.3918636362093623,1.0,1.0,0.1059833883411647,0.5327339857641178,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_mas,massey_consensus,0.1766735679779158,1193,829,0.3928514368848941,0.4236274055297253,1.0,1.0,0.100358044652784,0.5316202635446002,False,False,False,,below_bounded_prescreen,M_primary
diff__conference__strength_mean,conference_context,0.0,1449,1229,0.3860514973646831,0.3967779281417057,1.0,1.0,0.0949427617108629,0.5315870244598145,False,False,False,,below_bounded_prescreen,M_primary
diff__norm__conference__strength_mean__z,within_season_normalization,0.0,1449,1229,0.3855144842046766,0.3967779254642121,1.0,1.0,0.0949427595122656,0.5314688803673601,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__elo_mov_log_preseason,dynamic_ratings,0.0,1449,1449,0.3959414587473198,0.3901197728214599,1.0,1.0,0.0825770289467148,0.5310615307208425,False,False,False,,below_bounded_prescreen,M_primary
diff__rating__elo_mov_538_preseason,dynamic_ratings,0.0,1449,1449,0.3947055910298945,0.3902251177203355,1.0,1.0,0.0812792509455216,0.530892116494517,False,False,False,,below_bounded_prescreen,M_primary
diff__massey__system_wil,massey_consensus,0.1325051759834368,1257,882,0.409905420143099,0.4069929654924502,1.0,1.0,0.105156233687934,0.5307291524416655,False,False,False,,below_bounded_prescreen,M_primary
diff__compact__pythag_exp13p91,compact_performance,0.0,1449,1449,0.3816098705612017,0.3970044141643357,1.0,1.0,0.1172668225191537,0.5298256174215793,False,True,False,,correlation_pruned_or_cap,M_primary
diff__compact__upside_tail_mean,compact_performance,0.0,1449,1419,0.3990026287651353,0.3904940859033672,1.0,1.0,0.1464419769353088,0.5293600604845338,False,True,True,53.0,selected,M_primary
diff__schedule__top_quartile_games,schedule_and_accomplishment,0.0,1449,47,0.3871248096390882,0.3888940961861549,1.0,1.0,0.067566071432371,0.5291339814326589,False,False,False,,below_bounded_prescreen,M_primary
