Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason,OuterFoldID,InnerFoldID,Model,TargetColumn,SeedAware
diff__compact__pythag_exp13p91,compact_performance,0.0,378,378,0.4154395947727733,0.41971709568814386,1.0,1.0,0.04314712253346609,0.5511350318789805,False,True,True,47.0,selected,rich_W_2017,rich_W_2017_inner_2016,hist_classifier,Team1Win,True
absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0,378,378,0.13213452449257912,0.18536737879247933,0.6666666666666666,1.0,0.17018565446461853,0.31790517769683935,False,True,True,18.0,selected,rich_W_2017,rich_W_2017_inner_2016,hist_classifier,Team1Win,True
absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,378,378,0.1330456150613536,0.15541339250148295,0.6666666666666666,1.0,0.09168512867849424,0.3068677252337365,False,True,True,19.0,selected,rich_W_2017,rich_W_2017_inner_2016,hist_classifier,Team1Win,True
absdiff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0,378,378,0.1347814214251689,0.14790609807398875,0.6666666666666666,1.0,0.056523760494016265,0.30505255603595777,False,True,True,20.0,selected,rich_W_2017,rich_W_2017_inner_2016,hist_classifier,Team1Win,True
absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,378,378,0.1321513392025712,0.13267621470944402,0.6666666666666666,1.0,0.08579774022687316,0.29599263474269055,False,True,True,21.0,selected,rich_W_2017,rich_W_2017_inner_2016,hist_classifier,Team1Win,True
absdiff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,378,378,0.11054996686663585,0.13268742761917607,0.6666666666666666,1.0,0.18305100456360998,0.28735558445198667,False,True,True,22.0,selected,rich_W_2017,rich_W_2017_inner_2016,hist_classifier,Team1Win,True
matchup__equal_seed,matchup_context,0.0,378,2,0.08192311768010917,0.10869624218311899,0.6666666666666666,1.0,0.04665272072673726,0.2749978399751183,False,True,True,9.0,selected,rich_W_2017,rich_W_2017_inner_2016,hist_classifier,Team1Win,True
matchup__seed_gap_abs,matchup_context,0.0,378,14,-0.02692539211378061,0.12083609704586531,0.3333333333333333,1.0,0.12644185875906722,0.21220057183001773,False,True,True,10.0,selected,rich_W_2017,rich_W_2017_inner_2016,hist_classifier,Team1Win,True
context__season_centered_2000,matchup_context,0.0,378,6,-0.010904560085135087,0.0,0.0,1.0,0.0,0.10239900321872973,False,True,True,11.0,selected,rich_W_2017,rich_W_2017_inner_2016,hist_classifier,Team1Win,True
matchup__seed_diff,matchup_context,0.0,441,25,-0.6206531744764784,0.6216009799958313,1.0,1.0,0.020433456940687877,0.6940948305051967,True,True,True,1.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,441,441,0.5409368810273539,0.5515534235315759,1.0,1.0,0.028754584339454325,0.6426015737475961,True,True,True,5.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,441,306,0.5297955912868278,0.5275242753277876,1.0,1.0,0.023027297941140112,0.6288455903227946,True,True,True,2.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,441,374,0.5307656920148393,0.5228656266726511,1.0,1.0,0.04678496734482063,0.6258725543523443,True,True,True,4.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__margin_trim02,compact_performance,0.0,441,437,0.5051885011143635,0.5223535446256746,1.0,1.0,0.027233346794174995,0.6207818377937168,True,True,True,3.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__adj__net_rtg_a10p0,opponent_adjusted_efficiency,0.0,441,441,0.6091854869086575,0.6116580402103569,1.0,1.0,0.03866590682182447,0.6860700301480029,False,True,True,12.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__rating__bt_c1p0__z,within_season_normalization,0.0,441,441,0.588793440684361,0.6117513219352081,1.0,1.0,0.05313119453573856,0.6810499436980297,False,True,True,24.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__rating__elo_mov_538__z,within_season_normalization,0.0,441,441,0.5922845151360023,0.5974170803179607,1.0,1.0,0.0631395053089594,0.6745372116701832,False,True,True,25.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,441,441,0.60132106607421,0.5895814494209658,1.0,1.0,0.0662855591352478,0.6726383078929798,False,True,True,26.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__half_marginmean_first,compact_performance,0.0,441,416,0.5879592832191344,0.5796212975308903,1.0,1.0,0.039804091683511955,0.6659771014556964,False,True,True,34.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__schedule__rpi__z,within_season_normalization,0.0,441,441,0.574653993963389,0.574717443066637,1.0,1.0,0.05604601421234956,0.6600464107754374,False,True,True,27.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,441,441,-0.5476895637421211,0.5698830559053356,1.0,1.0,0.052568317654233865,0.6519328381516584,False,True,True,13.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
matchup__team1_seed,matchup_context,0.0,441,16,-0.5469954483424331,0.561059054080232,1.0,1.0,0.03245229086126655,0.6483492529593959,False,True,True,6.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,441,441,0.5617985740604111,0.5554970815936456,1.0,1.0,0.09019558060910926,0.646626462233876,False,True,True,14.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__rating__pagerank_margin__pct,within_season_normalization,0.0,441,342,0.5481356870587192,0.5503978313971345,1.0,1.0,0.02174441517034864,0.6439110336167287,False,True,True,28.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__half_pointsformean_first,compact_performance,0.0,441,408,0.5362307241083917,0.5550135605544155,1.0,1.0,0.07770036425985971,0.6412692537995712,False,True,True,35.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__schedule__opponent_strength_mean__z,within_season_normalization,0.0,441,441,0.5544625261022013,0.5432683881276789,1.0,1.0,0.038154290174585936,0.6412244104367867,False,True,True,29.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__rating__pagerank_margin__z,within_season_normalization,0.0,441,441,0.5175640236794661,0.5565945277995377,1.0,1.0,0.09909608970454609,0.6370656149650787,False,True,True,30.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
matchup__team1_is_seed_favorite,matchup_context,0.0,441,2,0.5403926830023388,0.5485061953007546,1.0,1.0,0.12997561839462812,0.6369703392690916,False,True,True,7.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__margin_q90,compact_performance,0.0,441,296,0.5385091041125418,0.5394302652978417,1.0,1.0,0.05790227937121473,0.6350824390728746,False,True,True,36.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__adj__net_rtg_a10p0_percentile,opponent_adjusted_efficiency,0.0,441,299,0.5243350891215396,0.526942726794538,1.0,1.0,0.025988347569206427,0.6272466945653488,False,True,True,15.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__schedule__quality_win_points_sum__pct,within_season_normalization,0.0,441,310,0.5276238356483423,0.5262700374418027,1.0,1.0,0.03728958074008104,0.6271952785850974,False,True,True,31.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__schedule__rpi__pct,within_season_normalization,0.0,441,319,0.5183643032451573,0.5275441306533383,1.0,1.0,0.0385021899355118,0.6257212418301165,False,True,True,32.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__norm__rating__colley__pct,within_season_normalization,0.0,441,317,0.5305654109497031,0.5224625860713042,1.0,1.0,0.046483248763514284,0.6256471017726201,False,True,True,33.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__home_margin_mean,compact_performance,0.031746031746031744,427,421,0.5217505842955749,0.5252335017708254,1.0,1.0,0.1008143866486243,0.6203249513893953,False,True,True,37.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__margin_q75,compact_performance,0.0,441,167,0.4911418517272367,0.48952062690396064,1.0,1.0,0.03119346773344933,0.6017733695845553,False,True,True,38.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__points_for_mean,compact_performance,0.0,441,435,0.45275349543225335,0.5015490291502656,1.0,1.0,0.09735143203596269,0.5964552457057847,False,True,True,39.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0,441,441,-0.4552986291077111,0.49344456378563684,1.0,1.0,0.07749703662445018,0.5939192075558242,False,True,True,16.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__half_winpct_first,compact_performance,0.0,441,186,0.4739465248338967,0.47682206443686737,1.0,1.0,0.06274459593938359,0.5906330425555782,False,True,True,40.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__blowout_win20_rate,compact_performance,0.0,441,373,0.4776541427927395,0.4674879397148373,1.0,1.0,0.06217727410062912,0.5869910315134994,False,True,True,41.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__adj__net_rtg_a50p0_percentile,opponent_adjusted_efficiency,0.0,441,307,0.46436666202742416,0.4693833508333961,1.0,1.0,0.02867240473459609,0.5863177778566796,False,True,True,17.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__pythag_exp8p0,compact_performance,0.0,441,441,0.46285312233522014,0.4675721200565309,1.0,1.0,0.018919266789734213,0.5855055338692938,False,True,True,42.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
matchup__team2_seed,matchup_context,0.0,441,16,0.4796636017788421,0.4626971596430511,1.0,1.0,0.05315298842661598,0.5854945094829451,False,True,True,8.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__ewm_h20_margin,compact_performance,0.0,441,441,0.46361212915270367,0.4624942131559158,1.0,1.0,0.07464623654580133,0.5810060412666024,False,True,True,43.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__ewm_h10_margin,compact_performance,0.0,441,441,0.4181526531604263,0.4657093405042746,1.0,1.0,0.07161022648746912,0.5726696580778468,False,True,True,44.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__margin_median,compact_performance,0.0,441,93,0.43669605000166656,0.439637063737219,1.0,1.0,0.05753954084414303,0.564797339960466,False,True,True,45.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__margin_q25,compact_performance,0.0,441,176,0.40875730867579246,0.4418685794364995,1.0,1.0,0.05171239073266071,0.5599550304088876,False,True,True,46.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__blowout_win10_rate,compact_performance,0.0,441,356,0.41992103736095215,0.42984650253035234,1.0,1.0,0.07497554451546429,0.5557099276533599,False,True,True,47.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__rest_days_mean,compact_performance,0.0,441,314,-0.40448149986807175,0.4227762410859014,1.0,1.0,0.04517909497132888,0.5501113618933553,False,True,True,48.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__wins,compact_performance,0.0,441,33,0.40245118589752543,0.4205175455441982,1.0,1.0,0.06412473767996196,0.5478226932514721,False,True,True,49.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__ewm_h20_points_for,compact_performance,0.0,441,441,0.4146435738839748,0.4112952716537364,1.0,1.0,0.038526242566616686,0.5471022669456033,False,True,True,50.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__pythag_exp13p91,compact_performance,0.0,441,441,0.4128735081662865,0.40976025195919974,1.0,1.0,0.037257906216211,0.5460267764883504,False,True,True,51.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__win_pct,compact_performance,0.0,441,348,0.36971050043079867,0.4105147522434745,1.0,1.0,0.061958038737602805,0.5359050696221394,False,True,True,52.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__margin_q10,compact_performance,0.0,441,279,0.3797356787202727,0.39507199089047157,1.0,1.0,0.03541043682308975,0.5317599874729628,False,True,True,53.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__away_margin_mean,compact_performance,0.0,441,432,0.37622515169702814,0.3959069692193655,1.0,1.0,0.05345218138446778,0.530666791343263,False,True,True,54.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
diff__compact__ewm_h10_points_for,compact_performance,0.0,441,441,0.3844703036313942,0.393265003256876,1.0,1.0,0.08204534212891157,0.5300688546770508,False,True,True,55.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
absdiff__adj__def_rtg_a50p0,opponent_adjusted_efficiency,0.0,441,441,0.15766353778892733,0.21994294043300666,0.7142857142857143,1.0,0.15711066700889142,0.3482598773267658,False,True,True,18.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
absdiff__adj__net_rtg_a50p0,opponent_adjusted_efficiency,0.0,441,441,0.1472874565928979,0.1681443780245303,0.7142857142857143,1.0,0.10249232915058612,0.32329856302190296,False,True,True,19.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
absdiff__adj__net_rtg_a10p0_z,opponent_adjusted_efficiency,0.0,441,441,0.11876803876260818,0.1728075334872087,0.7142857142857143,1.0,0.14931137365721103,0.3173898439410598,False,True,True,20.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
absdiff__adj__off_rtg_a50p0,opponent_adjusted_efficiency,0.0,441,441,0.12694705889340652,0.14134385554638482,0.7142857142857143,1.0,0.06169346032441503,0.30759137949155185,False,True,True,21.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
absdiff__adj__def_rtg_a10p0,opponent_adjusted_efficiency,0.0,441,441,0.14514536352619034,0.13489195048137373,0.7142857142857143,1.0,0.11021867034531793,0.30655708367872286,False,True,True,22.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
absdiff__adj__off_rtg_a10p0,opponent_adjusted_efficiency,0.0,441,441,0.10235937993630753,0.09123729696422751,0.7142857142857143,1.0,0.08103120122561233,0.2773574323655067,False,True,True,23.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
matchup__equal_seed,matchup_context,0.0,441,2,0.08155284460420309,0.09630261444211728,0.6666666666666666,1.0,0.07925312103888349,0.26766342257025233,False,True,True,9.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
matchup__seed_gap_abs,matchup_context,0.0,441,14,-0.04209579184403421,0.13392503228785968,0.42857142857142855,1.0,0.13066419420948924,0.2368899505069092,False,True,True,10.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
context__season_centered_2000,matchup_context,0.0,441,7,-0.06817477569683511,0.0,0.0,1.0,0.0,0.11499845065330373,False,True,True,11.0,selected,rich_W_2017,,hist_classifier,Team1Win,True
