Feature,Block,MissingRate,NonMissingRows,UniqueValues,GlobalCorrelation,MedianAbsoluteSeasonCorrelation,SeasonSignConsistency,SeasonCoverage,SeasonCorrelationIQR,StabilityScore,Mandatory,InPrecorrelationPool,Selected,SelectionRank,ExclusionReason
diff__norm__schedule__opponent_strength_mean__pct,within_season_normalization,0.0,630,502,0.5351305952502984,0.5410034908585242,1.0,1.0,0.04487047461928384,0.6356155875823858,True,True,True,3.0,selected
diff__norm__rating__elo_mov_538__pct,within_season_normalization,0.0,630,391,0.5271900039963014,0.5275236128516503,1.0,1.0,0.01538153643330542,0.6285778735906461,True,True,True,1.0,selected
diff__compact__margin_trim02,compact_performance,0.0,630,625,0.49942757980697217,0.5153903337663535,1.0,1.0,0.03903471233805722,0.6157000392718612,True,True,True,2.0,selected
diff__norm__adj__net_rtg_a50p0__pct,within_season_normalization,0.0,630,400,0.470038114358433,0.4707017816959227,1.0,1.0,0.02848616000885601,0.5882057939725439,True,True,True,4.0,selected
diff__rating__margin_ridge_a5p0_z,global_strength_ratings,0.0,630,630,0.6390472550921702,0.6462238291325999,1.0,1.0,0.03919153487856031,0.709210172708783,False,True,True,33.0,selected
diff__rating__margin_ridge_a5p0,global_strength_ratings,0.0,630,630,0.6385679470860919,0.646223827492834,1.0,1.0,0.039191531769661725,0.709104724284714,False,True,False,,correlation_pruned_or_cap
seedprior__team1_prob_pc2p0,prequential_seed_priors,0.0,630,345,0.6415354494190565,0.6404001046997327,1.0,1.0,0.05901686323154298,0.7061691745988025,False,True,True,37.0,selected
seedprior__team1_prob_pc8p0,prequential_seed_priors,0.0,630,345,0.6413401341188462,0.6391593944422118,1.0,1.0,0.057905310822549017,0.7055751264055059,False,True,False,,correlation_pruned_or_cap
diff__seed__number,selection_committee_prior,0.0,630,25,-0.624501254233309,0.6234150977203579,1.0,1.0,0.03143322469071008,0.6953721938494714,False,True,True,43.0,selected
diff__seed__strength,selection_committee_prior,0.0,630,25,0.624501254233309,0.6234150977203579,1.0,1.0,0.03143322469071008,0.6953721938494714,False,True,False,,correlation_pruned_or_cap
diff__schedule__quality_wins,schedule_and_accomplishment,0.0,630,44,0.6159909675611464,0.6218689466205916,1.0,1.0,0.06527833881662015,0.6914039736886712,False,True,False,,correlation_pruned_or_cap
diff__norm__adj__net_rtg_a10p0__z,within_season_normalization,0.0,630,630,0.6069074009121431,0.6153325927242157,1.0,1.0,0.04026597299111967,0.6872686337886502,False,True,True,5.0,selected
diff__norm__schedule__quality_win_points_sum__z,within_season_normalization,0.0,630,630,0.6089305925533728,0.6148921883376486,1.0,1.0,0.04905410106572172,0.6871508167211845,False,True,True,6.0,selected
diff__schedule__quality_win_points_sum,schedule_and_accomplishment,0.0,630,630,0.6084629455620243,0.6148921876893135,1.0,1.0,0.04905410190187176,0.687047934038441,False,True,False,,correlation_pruned_or_cap
diff__norm__rating__colley__z,within_season_normalization,0.0,630,630,0.6024057250955084,0.6169096140805179,1.0,1.0,0.04118461138539109,0.6869984898242447,False,True,True,7.0,selected
diff__rating__colley_z,global_strength_ratings,0.0,630,630,0.6024057250955084,0.6169096140805179,1.0,1.0,0.04118461138539109,0.6869984898242447,False,True,False,,correlation_pruned_or_cap
diff__rating__colley,global_strength_ratings,0.0,630,630,0.6022194107853104,0.6169096118545767,1.0,1.0,0.04118461017976072,0.6869574996557746,False,True,False,,correlation_pruned_or_cap
