Gender,model,feature,folds,retained_folds,retention_rate
M,logistic,diff_research_distribution_last30days_free_accuracy_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_accuracy_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_accuracy_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_accuracy_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_accuracy_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_accuracy_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_free_points_share_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_ftr_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_margin_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_efg_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_accuracy_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_free_points_share_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_ftr_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_orb_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_rebound_share_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_shot_volume_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_accuracy_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_points_share_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_three_share_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_tov_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_opp_two_accuracy_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_orb_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_points_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_possession_gap_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_rebound_share_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_shot_volume_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_tempo_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_accuracy_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_points_share_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_three_share_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_tov_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_two_accuracy_std,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_count,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_iqr,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_max,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_mean,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_median,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_min,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_q10,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_q25,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_q75,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_q90,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_skew,5,0,0.0
M,logistic,diff_research_distribution_last30days_win_std,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_count,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_count,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_iqr,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_max,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_mean,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_median,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_min,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_q10,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_q25,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_q75,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_q90,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_skew,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_efficiency_std,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_iqr,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_max,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_mean,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_median,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_min,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_q10,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_q25,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_q75,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_q90,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_skew,5,0,0.0
M,logistic,diff_research_distribution_last60days_allowed_std,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_count,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_iqr,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_max,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_mean,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_median,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_min,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_q10,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_q25,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_q75,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_q90,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_skew,5,0,0.0
M,logistic,diff_research_distribution_last60days_efficiency_std,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_count,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_iqr,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_max,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_mean,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_median,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_min,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_q10,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_q25,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_q75,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_q90,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_skew,5,0,0.0
M,logistic,diff_research_distribution_last60days_efg_std,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_count,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_iqr,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_max,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_mean,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_median,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_min,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_q10,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_q25,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_q75,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_q90,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_skew,5,0,0.0
M,logistic,diff_research_distribution_last60days_free_accuracy_std,5,0,0.0
